,county,pop,gdppercap,edupercap,unemployrate,pov_all_pct,pov_u18_pct,household,caucus,act_part,sat_part
0,Alameda,1669301,75.59,18.18,3.0,9.3,10.5,95550.0,Urban,20.66,33.85
1,Alpine,1162,89.93,469.1,4.6,18.1,35.3,55755.0,Rural,,
2,Amador,38294,42.44,30.69,4.0,10.9,15.7,60588.0,Rural,12.13,17.38
3,Butte,226466,38.42,16.75,4.9,18.1,22.6,48634.0,Suburban,8.86,21.6
4,Calaveras,45117,31.31,19.18,4.0,13.100000000000001,21.1,58536.0,Rural,6.87,19.96
5,Colusa,22117,56.25,60.75,12.9,12.2,15.4,53595.0,Rural,7.67,21.83
6,Contra Costa,1155879,68.6,24.81,3.2,9.1,11.2,95062.0,Urban,21.81,37.09
7,Del Norte,27401,25.71,18.15,5.5,24.6,33.9,39996.0,Rural,1.38,19.83
8,El Dorado,191848,38.76,24.88,3.6000000000000005,8.3,9.6,78464.0,Rural,20.89,27.13
9,Fresno,1018241,41.36,29.79,7.5,21.1,28.300000000000004,51452.0,Urban,12.62,28.46
10,Glenn,29132,38.6,14.72,6.5,14.800000000000002,20.8,49979.0,Rural,14.4,18.0
11,Humboldt,135333,38.32,38.42,3.6000000000000005,19.7,24.7,46123.0,Rural,7.97,22.35
12,Imperial,190266,44.52,11.02,18.1,20.7,28.1,43413.0,Suburban,15.66,24.46
13,Inyo,18593,65.3,92.1,3.9,11.8,17.6,53528.0,Rural,5.11,16.06
14,Kern,916464,53.71,16.49,8.0,21.2,28.999999999999996,49904.0,Suburban,8.83,26.66
15,Kings,153710,39.39,29.78,7.7,18.4,24.5,55076.0,Rural,14.07,22.11
16,Lake,65071,28.83,47.68,5.2,20.2,30.099999999999998,45797.0,Rural,9.75,25.04
17,Lassen,30150,35.54,6.76,4.8,16.3,18.0,58776.0,Rural,9.54,21.55
18,Los Angeles,10253716,68.64,50.6,4.7,14.899999999999999,20.9,64912.0,Urban,18.04,42.47
19,Madera,159536,38.83,14.78,7.000000000000001,21.2,28.6,50783.0,Rural,15.94,18.79
20,Marin,262879,103.38,155.78,2.4,7.9,8.2,112735.0,Suburban,28.45,36.46
21,Mariposa,18068,42.92,76.02,5.3,15.2,21.2,52387.0,Rural,10.32,23.23
22,Mendocino,89009,37.03,44.13,3.9,16.3,22.8,50453.0,Rural,6.88,21.96
