GeoFips,GeoName,2017,2018,2019
1001,"Autauga, AL",1587695,1602077,1540762
1003,"Baldwin, AL",6453588,6799715,7134734
1005,"Barbour, AL",721125,730518,729105
1007,"Bibb, AL",353234,353016,380453
1009,"Blount, AL",920401,967135,932215
1011,"Bullock, AL",225304,235358,247229
1013,"Butler, AL",584855,609244,615641
1015,"Calhoun, AL",3904458,3959304,4114829
1017,"Chambers, AL",785046,807107,817533
1019,"Cherokee, AL",508778,540834,527358
1021,"Chilton, AL",880016,918168,980365
1023,"Choctaw, AL",505673,546076,492926
1025,"Clarke, AL",728113,750365,736710
1027,"Clay, AL",368300,444465,419318
1029,"Cleburne, AL",297209,302347,274512
1031,"Coffee, AL",1301763,1326701,1315749
1033,"Colbert, AL",2268306,2363329,2341000
1035,"Conecuh, AL",538017,488194,466540
1037,"Coosa, AL",169996,178018,176482
1039,"Covington, AL",1165463,1166050,1100109
1041,"Crenshaw, AL",419898,448270,428320
1043,"Cullman, AL",2598508,2601327,2649646
1045,"Dale, AL",2591882,2514046,2522516
1047,"Dallas, AL",1118491,1122110,1102126
1049,"DeKalb, AL",1847471,1921659,1857673
1051,"Elmore, AL",1777348,1789092,1809270
1053,"Escambia, AL",1238865,1215138,1206764
1055,"Etowah, AL",2809493,2841049,2766192
1057,"Fayette, AL",320476,316814,321519
1059,"Franklin, AL",907706,962638,926671
1061,"Geneva, AL",503896,502402,526336
1063,"Greene, AL",210124,209945,218149
1065,"Hale, AL",271623,246837,241685
1067,"Henry, AL",391731,396376,407934
1069,"Houston, AL",4867988,4880057,4957322
1071,"Jackson, AL",1378489,1437962,1381755
1073,"Jefferson, AL",40364992,41028930,41244762
1075,"Lamar, AL",309283,304861,305015
1077,"Lauderdale, AL",2374775,2371552,2367072
1079,"Lawrence, AL",478923,504193,501518
1081,"Lee, AL",5448360,5389074,5603187
1083,"Limestone, AL",3411295,3385841,3572973
1085,"Lowndes, AL",418011,399841,377807
1087,"Macon, AL",487572,481537,478726
1089,"Madison, AL",21789269,22720023,23670284
1091,"Marengo, AL",642708,672252,681595
1093,"Marion, AL",798214,810967,792988
1095,"Marshall, AL",3164613,3245603,3276199
1097,"Mobile, AL",18215505,18455706,18652926
1099,"Monroe, AL",658871,629022,599556
1101,"Montgomery, AL",12569243,12524276,12558288
1103,"Morgan, AL",5034458,5104998,5135887
1105,"Perry, AL",199944,196637,192844
1107,"Pickens, AL",433779,427099,429936
1109,"Pike, AL",1304003,1285265,1286294
1111,"Randolph, AL",474844,484942,464111
1113,"Russell, AL",1323460,1315599,1313851
1115,"St. Clair, AL",1822443,1872929,1871513
1117,"Shelby, AL",10468422,10673132,10814962
1119,"Sumter, AL",308764,302068,294189
1121,"Talladega, AL",2867439,2894807,2864298
1123,"Tallapoosa, AL",1190058,1213743,1265550
1125,"Tuscaloosa, AL",9788372,9884658,10491624
1127,"Walker, AL",1875503,1886388,1694530
1129,"Washington, AL",753456,742567,789922
1131,"Wilcox, AL",392873,416036,384636
1133,"Winston, AL",644729,645050,698066
2013,"Aleutians East Borough, AK",225524,196977,211829
2016,"Aleutians West Census Area, AK",385386,375677,372939
2020,"Anchorage Municipality, AK",21145131,21275142,21096610
2050,"Bethel Census Area, AK",664874,672009,669380
2060,"Bristol Bay Borough, AK",120325,130396,125131
2063,"Chugach Census Area, AK*",(NA),(NA),(NA)
2066,"Copper River Census Area, AK*",(NA),(NA),(NA)
2068,"Denali Borough, AK",260727,262098,259591
2070,"Dillingham Census Area, AK",244154,244349,239239
2090,"Fairbanks North Star Borough, AK",5355362,5291435,5254634
2100,"Haines Borough, AK",102946,109959,108666
2105,"Hoonah-Angoon Census Area, AK*",95606,96138,99646
2110,"Juneau City and Borough, AK",2386873,2348798,2302465
2122,"Kenai Peninsula Borough, AK",2922115,2628605,2703389
2130,"Ketchikan Gateway Borough, AK*",822684,819401,838509
2150,"Kodiak Island Borough, AK",720140,703425,717581
2158,"Kusilvak Census Area, AK*",139030,141127,141922
2164,"Lake and Peninsula Borough, AK",88522,93420,85613
2170,"Matanuska-Susitna Borough, AK",2403156,2443285,2556968
2180,"Nome Census Area, AK",413472,409188,407769
2185,"North Slope Borough, AK",10980176,10050255,10389622
2188,"Northwest Arctic Borough, AK",701856,688496,666604
2195,"Petersburg Borough, AK*",180167,180505,185348
2198,"Prince of Wales-Hyder Census Area, AK*",246890,251947,263853
2201,"Prince of Wales-Outer Ketchikan Census Area, AK*",(NA),(NA),(NA)
2220,"Sitka City and Borough, AK",435881,444383,441235
2230,"Skagway Municipality, AK*",102737,98621,99677
2232,"Skagway-Hoonah-Angoon Census Area, AK*",(NA),(NA),(NA)
2240,"Southeast Fairbanks Census Area, AK",692558,658023,602812
2261,"Valdez-Cordova Census Area, AK*",2132610,2098601,2255039
2275,"Wrangell City and Borough, AK*",98909,99074,94807
2280,"Wrangell-Petersburg Census Area, AK*",(NA),(NA),(NA)
2282,"Yakutat City and Borough, AK*",25689,26876,28935
2290,"Yukon-Koyukuk Census Area, AK",260791,273293,270179
4001,"Apache, AZ",2356511,2386806,2128397
4003,"Cochise, AZ",4205704,4187426,4280992
4005,"Coconino, AZ",7149723,7089777,6829438
4007,"Gila, AZ",1690890,1705180,1687658
4009,"Graham, AZ",870164,899154,947920
4011,"Greenlee, AZ",1638845,1555996,1576320
4012,"La Paz, AZ",669175,661271,682877
4013,"Maricopa, AZ",214120001,223590591,233321462
4015,"Mohave, AZ",4816906,4900496,5074156
4017,"Navajo, AZ",2758995,2859345,2642699
4019,"Pima, AZ",38533954,39534741,40179930
4021,"Pinal, AZ",7965575,8368354,8585413
4023,"Santa Cruz, AZ",1746694,1792086,1767253
4025,"Yavapai, AZ",6606836,6657557,6692200
4027,"Yuma, AZ",7258853,7331342,7384506
5001,"Arkansas, AR",943684,971183,966397
5003,"Ashley, AR",693283,680615,677007
5005,"Baxter, AR",1268312,1285220,1278578
5007,"Benton, AR",13147706,13639837,14096756
5009,"Boone, AR",1170359,1176932,1170571
5011,"Bradley, AR",294601,313707,298606
5013,"Calhoun, AR",330193,320358,310815
5015,"Carroll, AR",775461,783382,790413
5017,"Chicot, AR",251713,247654,242945
5019,"Clark, AR",703202,727789,714943
5021,"Clay, AR",336667,315184,298149
5023,"Cleburne, AR",727170,698553,715489
5025,"Cleveland, AR",134232,153491,118887
5027,"Columbia, AR",835073,859980,833191
5029,"Conway, AR",779821,769677,749372
5031,"Craighead, AR",4049587,4182226,4334486
5033,"Crawford, AR",1510848,1526442,1547475
5035,"Crittenden, AR",1628023,1638514,1679445
5037,"Cross, AR",426274,394483,397141
5039,"Dallas, AR",201422,197398,190580
5041,"Desha, AR",509685,500131,511387
5043,"Drew, AR",577832,574922,559291
5045,"Faulkner, AR",3492999,3581062,3561759
5047,"Franklin, AR",404267,414704,412443
5049,"Fulton, AR",154811,163469,163622
5051,"Garland, AR",2992677,3051463,3054365
5053,"Grant, AR",367488,368134,385744
5055,"Greene, AR",1282760,1318104,1329611
5057,"Hempstead, AR",904786,883716,861068
5059,"Hot Spring, AR",938136,930648,873798
5061,"Howard, AR",590771,608701,538514
5063,"Independence, AR",1649637,1760694,1634129
5065,"Izard, AR",267748,273891,258246
5067,"Jackson, AR",627491,664339,640155
5069,"Jefferson, AR",2830649,2745288,2749951
5071,"Johnson, AR",661360,675288,655736
5073,"Lafayette, AR",151642,146635,126838
5075,"Lawrence, AR",418270,413547,394968
5077,"Lee, AR",158066,146574,162592
5079,"Lincoln, AR",231026,233168,220915
5081,"Little River, AR",446140,431025,438064
5083,"Logan, AR",492421,511681,438825
5085,"Lonoke, AR",1210259,1212353,1193391
5087,"Madison, AR",372870,384158,342893
5089,"Marion, AR",507444,453045,545770
5091,"Miller, AR",1212595,1210444,1233604
5093,"Mississippi, AR",2204137,2434838,2570710
5095,"Monroe, AR",168626,162850,175131
5097,"Montgomery, AR",131726,134103,125093
5099,"Nevada, AR",243224,247658,223053
5101,"Newton, AR",112025,90560,91962
5103,"Ouachita, AR",566632,575625,559672
5105,"Perry, AR",144298,145683,136283
5107,"Phillips, AR",460491,447430,473931
5109,"Pike, AR",229929,233587,211886
5111,"Poinsett, AR",555790,535584,538448
5113,"Polk, AR",487614,509929,489078
5115,"Pope, AR",2600751,2585841,2600390
5117,"Prairie, AR",202896,185538,164926
5119,"Pulaski, AR",25602515,25901785,26399358
5121,"Randolph, AR",422728,439618,437346
5123,"St. Francis, AR",652884,642713,651201
5125,"Saline, AR",2226596,2354762,2275529
5127,"Scott, AR",266266,284074,255301
5129,"Searcy, AR",154647,149873,156642
5131,"Sebastian, AR",5867673,6056680,6099593
5133,"Sevier, AR",473646,493638,450128
5135,"Sharp, AR",337941,347174,304247
5137,"Stone, AR",235635,227224,215539
5139,"Union, AR",2333636,2340456,2444503
5141,"Van Buren, AR",535543,492984,480600
5143,"Washington, AR",9995100,10277344,10459272
5145,"White, AR",2068293,2115786,2134793
5147,"Woodruff, AR",229225,229597,212755
5149,"Yell, AR",548054,580435,555952
6001,"Alameda, CA",119117078,123718310,126183638
6003,"Alpine, CA",99643,100131,104501
6005,"Amador, CA",1570431,1585410,1625096
6007,"Butte, CA",8434322,8543593,8701260
6009,"Calaveras, CA",1292735,1238320,1412753
6011,"Colusa, CA",1199687,1408034,1244078
6013,"Contra Costa, CA",71878033,76615513,79295699
6015,"Del Norte, CA",688089,709056,704591
6017,"El Dorado, CA",7238157,7471362,7435270
6019,"Fresno, CA",39921581,41016044,42111573
6021,"Glenn, CA",982720,1103979,1124597
6023,"Humboldt, CA",4986467,5053603,5185967
6025,"Imperial, CA",8155429,8102824,8471316
6027,"Inyo, CA",1224445,1175310,1214209
6029,"Kern, CA",46781960,47738604,49221208
6031,"Kings, CA",5924008,5882811,6054971
6033,"Lake, CA",1768943,1850962,1875971
6035,"Lassen, CA",1071059,1077095,1071584
6037,"Los Angeles, CA",662418536,681549961,703781312
6039,"Madera, CA",6012170,5988270,6194111
6041,"Marin, CA",22815861,25037176,27175273
6043,"Mariposa, CA",664863,764080,775501
6045,"Mendocino, CA",3261212,3290676,3295575
6047,"Merced, CA",9012107,8994225,9119281
6049,"Modoc, CA",357793,373250,414965
6051,"Mono, CA",1027563,957625,1016599
6053,"Monterey, CA",25122789,25923751,26819709
6055,"Napa, CA",9870652,9898897,9997969
6057,"Nevada, CA",3940019,3896864,3982808
6059,"Orange, CA",220075102,226110295,231036264
6061,"Placer, CA",19894372,20911650,21472690
6063,"Plumas, CA",1006000,940398,1042571
6065,"Riverside, CA",75327830,78156440,80690542
6067,"Sacramento, CA",77961074,80936234,83951132
6069,"San Benito, CA",2075377,2115616,2280142
6071,"San Bernardino, CA",78146465,80460743,83759253
6073,"San Diego, CA",203932550,209426148,214035153
6075,"San Francisco, CA",155258114,166716731,176392838
6077,"San Joaquin, CA",26787016,27808462,28686598
6079,"San Luis Obispo, CA",15449070,15808438,15901604
6081,"San Mateo, CA",113829269,119797765,125850236
6083,"Santa Barbara, CA",25885092,26938329,27183782
6085,"Santa Clara, CA",282946368,306691667,325665794
6087,"Santa Cruz, CA",12786326,13243490,14124562
6089,"Shasta, CA",7437919,7219547,7608827
6091,"Sierra, CA",82019,84198,87671
6093,"Siskiyou, CA",1546848,1563467,1579641
6095,"Solano, CA",20899701,21944195,24048606
6097,"Sonoma, CA",26325465,27565642,27657268
6099,"Stanislaus, CA",20632799,21234213,21658223
6101,"Sutter, CA",3095179,3307355,3282757
6103,"Tehama, CA",1882273,1885606,1980076
6105,"Trinity, CA",371527,359579,357454
6107,"Tulare, CA",16847054,17063694,17762269
6109,"Tuolumne, CA",2455844,2284494,2404999
6111,"Ventura, CA",46470387,46592945,47846529
6113,"Yolo, CA",13013233,13472232,13964754
6115,"Yuba, CA",2948046,2980485,3087444
8001,"Adams, CO*",23784769,24745551,25858619
8003,"Alamosa, CO",613032,638684,641874
8005,"Arapahoe, CO",42024419,43909234,44278392
8007,"Archuleta, CO",493487,504138,510854
8009,"Baca, CO",164357,129189,128539
8011,"Bent, CO",135923,135559,131212
